districtid,weekid,dose1,dose2
AP_Chittoor,25,10327.0,2505.0
AP_Chittoor,26,88924.0,49385.0
AP_Chittoor,27,19278.0,64035.0
AP_Chittoor,28,79977.0,149687.0
AP_Chittoor,29,153299.0,76380.0
AP_Chittoor,30,122512.0,6770.0
AP_East Godavari,1,11148.0,0.0
AP_East Godavari,2,9677.0,0.0
AP_East Godavari,3,13061.0,0.0
AP_East Godavari,4,5468.0,301.0
AP_East Godavari,5,6711.0,4189.0
AP_East Godavari,6,9612.0,7603.0
AP_East Godavari,7,14003.0,7046.0
AP_East Godavari,8,27104.0,6763.0
AP_East Godavari,9,53331.0,6364.0
AP_East Godavari,10,61245.0,7423.0
AP_East Godavari,11,38013.0,2478.0
AP_East Godavari,12,62966.0,14795.0
AP_East Godavari,13,72392.0,10523.0
AP_East Godavari,14,44552.0,61242.0
AP_East Godavari,15,52050.0,37828.0
AP_East Godavari,16,11738.0,30496.0
AP_East Godavari,17,4967.0,8374.0
AP_East Godavari,18,3298.0,26204.0
AP_East Godavari,19,196451.0,17126.0
AP_East Godavari,20,81984.0,4767.0
AP_East Godavari,21,123698.0,1250.0
AP_East Godavari,22,60655.0,572.0
AP_East Godavari,23,191003.0,17470.0
AP_East Godavari,24,152745.0,22813.0
AP_East Godavari,25,39974.0,39850.0
AP_East Godavari,26,101683.0,57558.0
AP_East Godavari,27,54724.0,51655.0
AP_East Godavari,28,182868.0,56708.0
AP_East Godavari,29,188187.0,37474.0
AP_East Godavari,30,51170.0,13601.0
AP_Guntur,1,3174.0,0.0
AP_Guntur,2,5396.0,0.0
AP_Guntur,3,6811.0,0.0
AP_Guntur,4,6595.0,1086.0
AP_Guntur,5,13785.0,5895.0
AP_Guntur,6,13238.0,3060.0
AP_Guntur,7,12115.0,3825.0
AP_Guntur,8,14562.0,5088.0
AP_Guntur,9,33485.0,7243.0
AP_Guntur,10,51973.0,7934.0
AP_Guntur,11,47332.0,5396.0
AP_Guntur,12,63977.0,9129.0
AP_Guntur,13,68230.0,6355.0
AP_Guntur,14,61606.0,42091.0
AP_Guntur,15,60285.0,21237.0
AP_Guntur,16,29194.0,32102.0
AP_Guntur,17,7299.0,22036.0
AP_Guntur,18,9247.0,15162.0
AP_Guntur,19,152440.0,22906.0
AP_Guntur,20,81969.0,9366.0
AP_Guntur,21,88154.0,7647.0
AP_Guntur,22,58124.0,8600.0
AP_Guntur,23,182062.0,28971.0
AP_Guntur,24,124702.0,28917.0
AP_Guntur,25,40069.0,12451.0
AP_Guntur,26,125905.0,60879.0
AP_Guntur,27,38329.0,56945.0
AP_Guntur,28,126988.0,64637.0
AP_Guntur,29,141089.0,60748.0
AP_Guntur,30,90097.0,42735.0
AP_Krishna,1,4393.0,0.0
AP_Krishna,2,5503.0,0.0
AP_Krishna,3,7259.0,0.0
AP_Krishna,4,7360.0,525.0
AP_Krishna,5,5112.0,6561.0
AP_Krishna,6,10344.0,4324.0
AP_Krishna,7,10622.0,3201.0
AP_Krishna,8,21069.0,6327.0
AP_Krishna,9,42785.0,4674.0
AP_Krishna,10,51408.0,6327.0
AP_Krishna,11,48922.0,4496.0
AP_Krishna,12,65440.0,6132.0
AP_Krishna,13,83044.0,4742.0
AP_Krishna,14,50683.0,49445.0
AP_Krishna,15,58323.0,35153.0
AP_Krishna,16,20323.0,42632.0
AP_Krishna,17,5469.0,37842.0
AP_Krishna,18,7482.0,20487.0
AP_Krishna,19,168626.0,11410.0
AP_Krishna,20,86588.0,5265.0
AP_Krishna,21,128215.0,5890.0
AP_Krishna,22,56532.0,3695.0
AP_Krishna,23,204267.0,27920.0
AP_Krishna,24,99712.0,41564.0
AP_Krishna,25,29328.0,19280.0
AP_Krishna,26,40128.0,63668.0
AP_Krishna,27,85962.0,47349.0
AP_Krishna,28,127294.0,45350.0
AP_Krishna,29,153529.0,32553.0
AP_Krishna,30,70395.0,20777.0
AP_Kurnool,1,3572.0,0.0
AP_Kurnool,2,3057.0,0.0
AP_Kurnool,3,9757.0,0.0
AP_Kurnool,4,4804.0,507.0
AP_Kurnool,5,6159.0,5033.0
AP_Kurnool,6,6973.0,2790.0
AP_Kurnool,7,6273.0,3637.0
AP_Kurnool,8,11088.0,3614.0
AP_Kurnool,9,30788.0,4010.0
AP_Kurnool,10,59180.0,3822.0
AP_Kurnool,11,39595.0,3154.0
AP_Kurnool,12,67498.0,5689.0
AP_Kurnool,13,43961.0,3888.0
AP_Kurnool,14,37187.0,41220.0
AP_Kurnool,15,43758.0,28287.0
AP_Kurnool,16,12550.0,35190.0
AP_Kurnool,17,3352.0,13041.0
AP_Kurnool,18,9545.0,14680.0
AP_Kurnool,19,108733.0,4713.0
AP_Kurnool,20,62562.0,4565.0
AP_Kurnool,21,60533.0,1417.0
AP_Kurnool,22,28129.0,416.0
AP_Kurnool,23,119318.0,11516.0
AP_Kurnool,24,94180.0,20846.0
AP_Kurnool,25,9569.0,9939.0
AP_Kurnool,26,94945.0,57333.0
AP_Kurnool,27,29049.0,41838.0
AP_Kurnool,28,75143.0,79479.0
AP_Kurnool,29,72343.0,51593.0
AP_Kurnool,30,88877.0,40411.0
AP_Prakasam,1,6383.0,0.0
AP_Prakasam,2,2615.0,0.0
AP_Prakasam,3,4817.0,0.0
AP_Prakasam,4,7876.0,137.0
AP_Prakasam,5,3414.0,3506.0
AP_Prakasam,6,6550.0,2843.0
AP_Prakasam,7,5824.0,1596.0
AP_Prakasam,8,10784.0,2653.0
AP_Prakasam,9,25546.0,6845.0
AP_Prakasam,10,44152.0,3720.0
AP_Prakasam,11,52215.0,4021.0
AP_Prakasam,12,44883.0,4827.0
AP_Prakasam,13,57871.0,4532.0
AP_Prakasam,14,37395.0,32415.0
AP_Prakasam,15,44386.0,34129.0
AP_Prakasam,16,19314.0,34225.0
AP_Prakasam,17,1626.0,7033.0
AP_Prakasam,18,17266.0,26542.0
AP_Prakasam,19,114760.0,7894.0
AP_Prakasam,20,61460.0,14224.0
AP_Prakasam,21,72663.0,3336.0
AP_Prakasam,22,24697.0,1243.0
AP_Prakasam,23,157027.0,17632.0
AP_Prakasam,24,78892.0,16326.0
AP_Prakasam,25,24046.0,12173.0
AP_Prakasam,26,96432.0,32374.0
AP_Prakasam,27,19397.0,31970.0
AP_Prakasam,28,52507.0,120999.0
AP_Prakasam,29,64084.0,42403.0
AP_Prakasam,30,72828.0,46193.0
AP_S.P.S. Nellore,1,5659.0,0.0
AP_S.P.S. Nellore,2,6518.0,0.0
AP_S.P.S. Nellore,3,14431.0,0.0
AP_S.P.S. Nellore,4,5320.0,656.0
AP_S.P.S. Nellore,5,8164.0,8992.0
AP_S.P.S. Nellore,6,8471.0,4880.0
AP_S.P.S. Nellore,7,11531.0,4787.0
AP_S.P.S. Nellore,8,13202.0,4419.0
AP_S.P.S. Nellore,9,35573.0,9774.0
AP_S.P.S. Nellore,10,44788.0,7970.0
AP_S.P.S. Nellore,11,33394.0,4696.0
AP_S.P.S. Nellore,12,42868.0,6163.0
AP_S.P.S. Nellore,13,54787.0,6013.0
AP_S.P.S. Nellore,14,30394.0,43730.0
AP_S.P.S. Nellore,15,47084.0,26938.0
AP_S.P.S. Nellore,16,24135.0,31388.0
AP_S.P.S. Nellore,17,6041.0,18563.0
AP_S.P.S. Nellore,18,6682.0,5596.0
AP_S.P.S. Nellore,19,114953.0,5796.0
AP_S.P.S. Nellore,20,55848.0,5349.0
AP_S.P.S. Nellore,21,59906.0,5062.0
AP_S.P.S. Nellore,22,29155.0,2188.0
AP_S.P.S. Nellore,23,122740.0,24697.0
AP_S.P.S. Nellore,24,55345.0,54629.0
AP_S.P.S. Nellore,25,30696.0,37913.0
AP_S.P.S. Nellore,26,61176.0,49403.0
AP_S.P.S. Nellore,27,13419.0,37921.0
AP_S.P.S. Nellore,28,97356.0,77812.0
AP_S.P.S. Nellore,29,71386.0,23916.0
AP_S.P.S. Nellore,30,46777.0,19438.0
AP_Srikakulam,1,3703.0,0.0
AP_Srikakulam,2,4355.0,0.0
AP_Srikakulam,3,14156.0,0.0
AP_Srikakulam,4,3603.0,713.0
AP_Srikakulam,5,6284.0,7414.0
AP_Srikakulam,6,4330.0,2380.0
AP_Srikakulam,7,8282.0,5183.0
AP_Srikakulam,8,12839.0,4627.0
AP_Srikakulam,9,21728.0,2641.0
AP_Srikakulam,10,24670.0,2067.0
AP_Srikakulam,11,39516.0,3238.0
AP_Srikakulam,12,50040.0,6822.0
AP_Srikakulam,13,44219.0,3288.0
AP_Srikakulam,14,29347.0,21652.0
AP_Srikakulam,15,38616.0,19202.0
AP_Srikakulam,16,9149.0,24813.0
AP_Srikakulam,17,2425.0,10777.0
AP_Srikakulam,18,2515.0,9004.0
AP_Srikakulam,19,117288.0,1581.0
AP_Srikakulam,20,61290.0,1293.0
AP_Srikakulam,21,47487.0,3231.0
AP_Srikakulam,22,55863.0,2318.0
AP_Srikakulam,23,134029.0,21196.0
AP_Srikakulam,24,62803.0,23839.0
AP_Srikakulam,25,11928.0,19136.0
AP_Srikakulam,26,47357.0,36410.0
AP_Srikakulam,27,14540.0,25097.0
AP_Srikakulam,28,58995.0,43982.0
AP_Srikakulam,29,77802.0,23430.0
AP_Srikakulam,30,19245.0,11638.0
AP_Visakhapatnam,1,6006.0,0.0
AP_Visakhapatnam,2,8039.0,0.0
AP_Visakhapatnam,3,7407.0,0.0
AP_Visakhapatnam,4,6649.0,240.0
AP_Visakhapatnam,5,7909.0,8113.0
AP_Visakhapatnam,6,15229.0,6592.0
AP_Visakhapatnam,7,11508.0,3280.0
AP_Visakhapatnam,8,18438.0,5457.0
AP_Visakhapatnam,9,30892.0,3734.0
AP_Visakhapatnam,10,46378.0,7258.0
AP_Visakhapatnam,11,93075.0,4740.0
AP_Visakhapatnam,12,63493.0,11033.0
AP_Visakhapatnam,13,57367.0,7651.0
AP_Visakhapatnam,14,43085.0,47116.0
AP_Visakhapatnam,15,59797.0,29471.0
AP_Visakhapatnam,16,29289.0,35098.0
AP_Visakhapatnam,17,6611.0,17744.0
AP_Visakhapatnam,18,7184.0,21754.0
AP_Visakhapatnam,19,146523.0,10452.0
AP_Visakhapatnam,20,118662.0,6747.0
AP_Visakhapatnam,21,140166.0,4895.0
AP_Visakhapatnam,22,83834.0,5130.0
AP_Visakhapatnam,23,192034.0,21423.0
AP_Visakhapatnam,24,135976.0,41206.0
AP_Visakhapatnam,25,22396.0,19144.0
AP_Visakhapatnam,26,86242.0,47130.0
AP_Visakhapatnam,27,32270.0,67771.0
AP_Visakhapatnam,28,104558.0,53137.0
AP_Visakhapatnam,29,128879.0,87970.0
AP_Visakhapatnam,30,165151.0,48873.0
AP_Vizianagaram,1,3415.0,0.0
AP_Vizianagaram,2,2757.0,0.0
AP_Vizianagaram,3,5930.0,0.0
AP_Vizianagaram,4,2496.0,342.0
AP_Vizianagaram,5,5681.0,6132.0
AP_Vizianagaram,6,4290.0,2328.0
AP_Vizianagaram,7,5300.0,1619.0
AP_Vizianagaram,8,7420.0,2129.0
AP_Vizianagaram,9,16756.0,1670.0
AP_Vizianagaram,10,24519.0,2042.0
AP_Vizianagaram,11,30876.0,2325.0
AP_Vizianagaram,12,44161.0,6507.0
AP_Vizianagaram,13,47849.0,2791.0
AP_Vizianagaram,14,21117.0,22842.0
AP_Vizianagaram,15,31407.0,18846.0
AP_Vizianagaram,16,10382.0,23565.0
AP_Vizianagaram,17,919.0,6666.0
AP_Vizianagaram,18,1862.0,4244.0
AP_Vizianagaram,19,88118.0,3624.0
AP_Vizianagaram,20,54682.0,3133.0
AP_Vizianagaram,21,45424.0,501.0
AP_Vizianagaram,22,40962.0,575.0
AP_Vizianagaram,23,110323.0,7708.0
AP_Vizianagaram,24,59650.0,14356.0
AP_Vizianagaram,25,9420.0,4523.0
AP_Vizianagaram,26,38443.0,27804.0
AP_Vizianagaram,27,21093.0,14780.0
AP_Vizianagaram,28,35467.0,15428.0
AP_Vizianagaram,29,67105.0,13452.0
AP_Vizianagaram,30,83003.0,10085.0
AP_West Godavari,1,5329.0,0.0
AP_West Godavari,2,4225.0,0.0
AP_West Godavari,3,7166.0,0.0
AP_West Godavari,4,3233.0,104.0
AP_West Godavari,5,12704.0,5827.0
AP_West Godavari,6,11580.0,4344.0
AP_West Godavari,7,8869.0,3571.0
AP_West Godavari,8,14021.0,3356.0
AP_West Godavari,9,26653.0,5047.0
AP_West Godavari,10,35978.0,5506.0
AP_West Godavari,11,58311.0,4435.0
AP_West Godavari,12,51579.0,10806.0
AP_West Godavari,13,51194.0,9952.0
AP_West Godavari,14,25803.0,47006.0
AP_West Godavari,15,48527.0,29720.0
AP_West Godavari,16,25452.0,28287.0
AP_West Godavari,17,2163.0,26860.0
AP_West Godavari,18,2033.0,530.0
AP_West Godavari,19,134268.0,28111.0
AP_West Godavari,20,93977.0,2911.0
AP_West Godavari,21,117487.0,1003.0
AP_West Godavari,22,53604.0,389.0
AP_West Godavari,23,244099.0,6086.0
AP_West Godavari,24,104704.0,18569.0
AP_West Godavari,25,46736.0,19464.0
AP_West Godavari,26,98887.0,23525.0
AP_West Godavari,27,26124.0,18445.0
AP_West Godavari,28,114523.0,82791.0
AP_West Godavari,29,107760.0,28804.0
AP_West Godavari,30,105351.0,16514.0
AP_Y.S.R. Kadapa,1,4040.0,0.0
AP_Y.S.R. Kadapa,2,2878.0,0.0
AP_Y.S.R. Kadapa,3,4669.0,0.0
AP_Y.S.R. Kadapa,4,3965.0,552.0
AP_Y.S.R. Kadapa,5,7616.0,6379.0
AP_Y.S.R. Kadapa,6,7687.0,2311.0
AP_Y.S.R. Kadapa,7,3599.0,1416.0
AP_Y.S.R. Kadapa,8,15717.0,1786.0
AP_Y.S.R. Kadapa,9,38263.0,2710.0
AP_Y.S.R. Kadapa,10,72296.0,5525.0
AP_Y.S.R. Kadapa,11,27116.0,2294.0
AP_Y.S.R. Kadapa,12,50555.0,6526.0
AP_Y.S.R. Kadapa,13,41166.0,6442.0
AP_Y.S.R. Kadapa,14,32423.0,36562.0
AP_Y.S.R. Kadapa,15,35731.0,32761.0
AP_Y.S.R. Kadapa,16,22875.0,42650.0
AP_Y.S.R. Kadapa,17,292.0,3000.0
AP_Y.S.R. Kadapa,18,2905.0,11757.0
AP_Y.S.R. Kadapa,19,108856.0,9551.0
AP_Y.S.R. Kadapa,20,64019.0,5699.0
AP_Y.S.R. Kadapa,21,39686.0,2280.0
AP_Y.S.R. Kadapa,22,43812.0,3407.0
AP_Y.S.R. Kadapa,23,134627.0,17974.0
AP_Y.S.R. Kadapa,24,71843.0,26127.0
AP_Y.S.R. Kadapa,25,6155.0,7326.0
AP_Y.S.R. Kadapa,26,69432.0,46091.0
AP_Y.S.R. Kadapa,27,18518.0,20066.0
AP_Y.S.R. Kadapa,28,46446.0,61147.0
AP_Y.S.R. Kadapa,29,47404.0,24375.0
AP_Y.S.R. Kadapa,30,18648.0,8566.0
AR_Anjaw,1,147.0,0.0
AR_Anjaw,2,107.0,0.0
AR_Anjaw,3,21.0,0.0
AR_Anjaw,4,112.0,0.0
AR_Anjaw,5,206.0,117.0
AR_Anjaw,6,99.0,115.0
AR_Anjaw,7,56.0,18.0
AR_Anjaw,8,30.0,38.0
AR_Anjaw,9,107.0,135.0
AR_Anjaw,10,288.0,77.0
AR_Anjaw,11,273.0,50.0
AR_Anjaw,12,206.0,41.0
AR_Anjaw,13,219.0,61.0
AR_Anjaw,14,209.0,110.0
AR_Anjaw,15,473.0,147.0
AR_Anjaw,16,185.0,123.0
AR_Anjaw,17,334.0,209.0
AR_Anjaw,18,355.0,4.0
AR_Anjaw,19,85.0,7.0
AR_Anjaw,20,349.0,0.0
AR_Anjaw,21,1374.0,6.0
AR_Anjaw,22,661.0,69.0
AR_Anjaw,23,1108.0,85.0
AR_Anjaw,24,1722.0,40.0
AR_Anjaw,25,813.0,105.0
AR_Anjaw,26,417.0,122.0
AR_Anjaw,27,450.0,258.0
AR_Anjaw,28,154.0,226.0
AR_Anjaw,29,266.0,124.0
AR_Anjaw,30,96.0,262.0
AR_Changlang,1,91.0,0.0
AR_Changlang,2,429.0,0.0
AR_Changlang,3,182.0,0.0
AR_Changlang,4,266.0,0.0
AR_Changlang,5,243.0,260.0
AR_Changlang,6,460.0,132.0
AR_Changlang,7,806.0,255.0
AR_Changlang,8,605.0,166.0
AR_Changlang,9,773.0,139.0
AR_Changlang,10,460.0,185.0
AR_Changlang,11,194.0,185.0
AR_Changlang,12,1340.0,427.0
AR_Changlang,13,5410.0,650.0
AR_Changlang,14,2149.0,592.0
AR_Changlang,15,3068.0,374.0
AR_Changlang,16,1419.0,632.0
AR_Changlang,17,1072.0,263.0
AR_Changlang,18,2901.0,10.0
AR_Changlang,19,1118.0,73.0
AR_Changlang,20,3764.0,157.0
AR_Changlang,21,2495.0,133.0
AR_Changlang,22,20941.0,50.0
AR_Changlang,23,2143.0,36.0
AR_Changlang,24,4404.0,459.0
AR_Changlang,25,7015.0,3600.0
AR_Changlang,26,2149.0,1744.0
AR_Changlang,27,3509.0,2514.0
AR_Changlang,28,2986.0,1532.0
AR_Changlang,29,2259.0,900.0
AR_Changlang,30,939.0,1438.0
AR_East Kameng,1,99.0,0.0
AR_East Kameng,2,0.0,0.0
AR_East Kameng,3,106.0,0.0
AR_East Kameng,4,50.0,0.0
AR_East Kameng,5,263.0,124.0
AR_East Kameng,6,123.0,27.0
AR_East Kameng,7,190.0,69.0
AR_East Kameng,8,100.0,36.0
AR_East Kameng,9,99.0,119.0
AR_East Kameng,10,163.0,119.0
AR_East Kameng,11,187.0,74.0
AR_East Kameng,12,886.0,122.0
AR_East Kameng,13,1519.0,148.0
AR_East Kameng,14,927.0,120.0
AR_East Kameng,15,788.0,135.0
AR_East Kameng,16,577.0,467.0
AR_East Kameng,17,532.0,261.0
AR_East Kameng,18,1289.0,4.0
AR_East Kameng,19,422.0,3.0
AR_East Kameng,20,1065.0,7.0
AR_East Kameng,21,1733.0,20.0
AR_East Kameng,22,1234.0,25.0
AR_East Kameng,23,1534.0,19.0
AR_East Kameng,24,1742.0,70.0
AR_East Kameng,25,975.0,881.0
AR_East Kameng,26,2146.0,844.0
AR_East Kameng,27,536.0,697.0
AR_East Kameng,28,268.0,545.0
AR_East Kameng,29,305.0,494.0
AR_East Kameng,30,558.0,753.0
AR_East Siang,1,74.0,0.0
AR_East Siang,2,263.0,0.0
AR_East Siang,3,289.0,0.0
AR_East Siang,4,287.0,76.0
AR_East Siang,5,348.0,266.0
AR_East Siang,6,227.0,209.0
AR_East Siang,7,447.0,164.0
AR_East Siang,8,625.0,252.0
AR_East Siang,9,922.0,137.0
AR_East Siang,10,2341.0,133.0
AR_East Siang,11,1403.0,314.0
AR_East Siang,12,1973.0,471.0
AR_East Siang,13,2339.0,786.0
AR_East Siang,14,1743.0,1431.0
AR_East Siang,15,1844.0,1623.0
AR_East Siang,16,1547.0,1730.0
AR_East Siang,17,856.0,878.0
AR_East Siang,18,1461.0,2.0
AR_East Siang,19,315.0,3.0
AR_East Siang,20,1812.0,7.0
AR_East Siang,21,1743.0,7.0
AR_East Siang,22,3487.0,21.0
AR_East Siang,23,10455.0,47.0
AR_East Siang,24,5556.0,436.0
AR_East Siang,25,5375.0,1797.0
AR_East Siang,26,1670.0,1365.0
AR_East Siang,27,900.0,1430.0
AR_East Siang,28,444.0,1119.0
AR_East Siang,29,325.0,586.0
AR_East Siang,30,244.0,790.0
AR_Kamle,1,73.0,0.0
AR_Kamle,2,73.0,0.0
AR_Kamle,3,0.0,0.0
AR_Kamle,4,22.0,0.0
AR_Kamle,5,0.0,30.0
AR_Kamle,6,52.0,86.0
AR_Kamle,7,38.0,26.0
AR_Kamle,8,1.0,0.0
AR_Kamle,9,32.0,20.0
AR_Kamle,10,49.0,43.0
AR_Kamle,11,120.0,41.0
AR_Kamle,12,228.0,3.0
AR_Kamle,13,182.0,30.0
AR_Kamle,14,160.0,42.0
AR_Kamle,15,216.0,68.0
AR_Kamle,16,366.0,114.0
AR_Kamle,17,101.0,32.0
AR_Kamle,18,471.0,1.0
AR_Kamle,19,86.0,1.0
AR_Kamle,20,16.0,0.0
AR_Kamle,21,205.0,0.0
AR_Kamle,22,195.0,0.0
AR_Kamle,23,359.0,0.0
AR_Kamle,24,774.0,7.0
AR_Kamle,25,515.0,197.0
AR_Kamle,26,671.0,123.0
AR_Kamle,27,384.0,149.0
AR_Kamle,28,238.0,144.0
AR_Kamle,29,341.0,105.0
AR_Kamle,30,231.0,275.0
AR_Kra Daadi,1,73.0,0.0
AR_Kra Daadi,2,62.0,0.0
AR_Kra Daadi,3,16.0,0.0
AR_Kra Daadi,4,54.0,0.0
AR_Kra Daadi,5,128.0,132.0
AR_Kra Daadi,6,5.0,30.0
AR_Kra Daadi,7,9.0,19.0
AR_Kra Daadi,8,35.0,37.0
AR_Kra Daadi,9,8.0,56.0
AR_Kra Daadi,10,156.0,17.0
AR_Kra Daadi,11,218.0,0.0
AR_Kra Daadi,12,113.0,4.0
AR_Kra Daadi,13,341.0,15.0
AR_Kra Daadi,14,141.0,52.0
AR_Kra Daadi,15,236.0,126.0
AR_Kra Daadi,16,158.0,203.0
AR_Kra Daadi,17,77.0,32.0
AR_Kra Daadi,18,548.0,1.0
AR_Kra Daadi,19,374.0,9.0
AR_Kra Daadi,20,201.0,1.0
AR_Kra Daadi,21,184.0,0.0
AR_Kra Daadi,22,313.0,3.0
AR_Kra Daadi,23,381.0,10.0
AR_Kra Daadi,24,915.0,27.0
AR_Kra Daadi,25,312.0,96.0
AR_Kra Daadi,26,63.0,193.0
AR_Kra Daadi,27,221.0,230.0
AR_Kra Daadi,28,467.0,154.0
AR_Kra Daadi,29,4.0,73.0
AR_Kra Daadi,30,24.0,227.0
AR_Kurung Kumey,1,285.0,0.0
AR_Kurung Kumey,2,105.0,0.0
AR_Kurung Kumey,3,58.0,0.0
AR_Kurung Kumey,4,19.0,0.0
AR_Kurung Kumey,5,1.0,0.0
AR_Kurung Kumey,6,70.0,166.0
AR_Kurung Kumey,7,78.0,62.0
AR_Kurung Kumey,8,161.0,48.0
AR_Kurung Kumey,9,503.0,74.0
AR_Kurung Kumey,10,752.0,19.0
AR_Kurung Kumey,11,375.0,27.0
AR_Kurung Kumey,12,190.0,20.0
AR_Kurung Kumey,13,276.0,147.0
AR_Kurung Kumey,14,279.0,217.0
AR_Kurung Kumey,15,233.0,457.0
AR_Kurung Kumey,16,206.0,456.0
AR_Kurung Kumey,17,158.0,244.0
AR_Kurung Kumey,18,388.0,4.0
AR_Kurung Kumey,19,397.0,1.0
AR_Kurung Kumey,20,148.0,0.0
AR_Kurung Kumey,21,48.0,7.0
AR_Kurung Kumey,22,75.0,0.0
AR_Kurung Kumey,23,299.0,12.0
AR_Kurung Kumey,24,981.0,139.0
AR_Kurung Kumey,25,766.0,115.0
AR_Kurung Kumey,26,356.0,184.0
AR_Kurung Kumey,27,360.0,142.0
