stateid,weekid,dose1,dose2
HP,18,116814.0,552.0
HP,19,94894.0,381.0
HP,20,92799.0,582.0
HP,21,62900.0,1784.0
HP,22,226888.0,4330.0
HP,23,631361.0,31560.0
HP,24,368035.0,135788.0
HP,25,44938.0,250204.0
HP,26,81829.0,181931.0
HP,27,235879.0,127003.0
HP,28,208385.0,106633.0
HP,29,240951.0,87535.0
HP,30,760570.0,152737.0
HR,1,41486.0,0.0
HR,2,51793.0,0.0
HR,3,13821.0,0.0
HR,4,68718.0,590.0
HR,5,26450.0,18663.0
HR,6,13841.0,42413.0
HR,7,43546.0,12757.0
HR,8,106522.0,28108.0
HR,9,353390.0,25684.0
HR,10,368204.0,14043.0
HR,11,504758.0,17404.0
HR,12,494257.0,35052.0
HR,13,617594.0,121770.0
HR,14,325976.0,154159.0
HR,15,179394.0,94592.0
HR,16,361976.0,149404.0
HR,17,403805.0,201816.0
HR,18,434462.0,29461.0
HR,19,404594.0,42523.0
HR,20,389453.0,29997.0
HR,21,481040.0,44666.0
HR,22,493967.0,83130.0
HR,23,951790.0,151909.0
HR,24,672968.0,256587.0
HR,25,299067.0,188721.0
HR,26,409281.0,251858.0
HR,27,281337.0,192072.0
HR,28,523051.0,318346.0
HR,29,633916.0,336860.0
HR,30,539785.0,349022.0
JH,1,3773.0,0.0
JH,2,27360.0,0.0
JH,3,55309.0,0.0
JH,4,109170.0,1978.0
JH,5,63590.0,9605.0
JH,6,30135.0,12174.0
JH,7,59648.0,37133.0
JH,8,101424.0,78358.0
JH,9,249983.0,69101.0
JH,10,649138.0,33757.0
JH,11,151132.0,15011.0
JH,12,469427.0,32623.0
JH,13,423342.0,49999.0
JH,14,157007.0,74550.0
JH,15,96703.0,73956.0
JH,16,66709.0,82413.0
JH,17,162802.0,93894.0
JH,18,323837.0,12200.0
JH,19,223532.0,23200.0
JH,20,307654.0,38800.0
JH,21,480880.0,46834.0
JH,22,549434.0,108269.0
JH,23,774200.0,117535.0
JH,24,411847.0,99645.0
JH,25,419764.0,170520.0
JH,26,426748.0,202489.0
JH,27,325369.0,124553.0
JH,28,656480.0,204476.0
JH,29,480952.0,147515.0
JH,30,540228.0,174393.0
JK,1,5191.0,0.0
JK,2,15668.0,0.0
JK,3,19648.0,0.0
JK,4,76768.0,722.0
JK,5,68420.0,5536.0
JK,6,36289.0,9429.0
JK,7,66458.0,9418.0
JK,8,73822.0,31109.0
JK,9,107215.0,54887.0
JK,10,113114.0,34887.0
JK,11,154072.0,14441.0
JK,12,358537.0,31203.0
JK,13,263001.0,39658.0
JK,14,332605.0,75128.0
JK,15,304779.0,74739.0
JK,16,240266.0,100981.0
JK,17,77052.0,51755.0
JK,18,104877.0,4427.0
JK,19,281672.0,5436.0
JK,20,196504.0,22221.0
JK,21,172502.0,17637.0
JK,22,282829.0,19319.0
JK,23,291914.0,37027.0
JK,24,369468.0,107633.0
JK,25,280445.0,74628.0
JK,26,219413.0,148004.0
JK,27,174117.0,164160.0
JK,28,219244.0,175570.0
JK,29,328255.0,146468.0
JK,30,311680.0,117916.0
KA,1,80775.0,0.0
KA,2,161853.0,0.0
KA,3,75083.0,0.0
KA,4,114149.0,15.0
KA,5,111109.0,117066.0
KA,6,64556.0,104609.0
KA,7,67269.0,23113.0
KA,8,316522.0,80994.0
KA,9,1003866.0,70724.0
KA,10,856080.0,46189.0
KA,11,1116446.0,36523.0
KA,12,1530544.0,85162.0
KA,13,947057.0,178371.0
KA,14,989996.0,410957.0
KA,15,739375.0,444730.0
KA,16,398587.0,421364.0
KA,17,350127.0,477435.0
KA,18,480735.0,119400.0
KA,19,1217660.0,104379.0
KA,20,1580584.0,141383.0
KA,21,1678867.0,144767.0
KA,22,1320335.0,208824.0
KA,23,2883750.0,317149.0
KA,24,1512669.0,504248.0
KA,25,1252304.0,627216.0
KA,26,1097069.0,595421.0
KA,27,934464.0,642256.0
KA,28,956340.0,626938.0
KA,29,1626937.0,766505.0
KA,30,1193412.0,541653.0
KL,1,20263.0,0.0
KL,2,112281.0,0.0
KL,3,137506.0,0.0
KL,4,66436.0,0.0
KL,5,68561.0,38833.0
KL,6,82385.0,65387.0
KL,7,266903.0,82935.0
KL,8,286070.0,92459.0
KL,9,390816.0,70974.0
KL,10,467076.0,38955.0
KL,11,1516422.0,32540.0
KL,12,854454.0,70813.0
KL,13,887737.0,181061.0
KL,14,629977.0,365230.0
KL,15,281158.0,316503.0
KL,16,117554.0,409013.0
KL,17,238917.0,226940.0
KL,18,197568.0,28873.0
KL,19,546842.0,24248.0
KL,20,887365.0,112227.0
KL,21,885676.0,80716.0
KL,22,733256.0,188591.0
KL,23,829185.0,550951.0
KL,24,656728.0,624472.0
KL,25,381780.0,520910.0
KL,26,445090.0,538167.0
KL,27,887317.0,926404.0
KL,28,1234251.0,466643.0
KL,29,1305579.0,311750.0
KL,30,1864857.0,292218.0
LA,1,321.0,0.0
LA,2,629.0,0.0
LA,3,858.0,0.0
LA,4,1014.0,71.0
LA,5,2952.0,529.0
LA,6,3629.0,329.0
LA,7,4975.0,1049.0
LA,8,16350.0,926.0
LA,9,7582.0,2367.0
LA,10,1399.0,1382.0
LA,11,12989.0,78.0
LA,12,11811.0,1282.0
LA,13,2639.0,2749.0
LA,14,4557.0,14163.0
LA,15,3270.0,9633.0
LA,16,8048.0,2030.0
LA,17,3613.0,764.0
LA,18,8160.0,7.0
LA,19,22031.0,20.0
LA,20,23530.0,33.0
LA,21,13316.0,69.0
LA,22,8127.0,96.0
LA,23,6862.0,9816.0
LA,24,5132.0,11037.0
LA,25,7582.0,2400.0
LA,26,3585.0,1439.0
LA,27,800.0,1102.0
LA,28,1311.0,4375.0
LA,29,1345.0,2313.0
LA,30,1109.0,2866.0
LD,1,718.0,0.0
LD,2,73.0,0.0
LD,3,26.0,0.0
LD,4,742.0,0.0
LD,5,114.0,81.0
LD,6,135.0,26.0
LD,7,115.0,32.0
LD,8,1066.0,720.0
LD,9,623.0,628.0
LD,10,539.0,194.0
LD,11,1411.0,140.0
LD,12,4572.0,736.0
LD,13,4011.0,427.0
LD,14,3092.0,785.0
LD,15,1917.0,505.0
LD,16,1070.0,1179.0
LD,17,1212.0,1353.0
LD,18,1654.0,115.0
LD,19,2086.0,23.0
LD,20,6130.0,28.0
LD,21,7684.0,105.0
LD,22,5120.0,81.0
LD,23,2127.0,325.0
LD,24,831.0,1065.0
LD,25,852.0,2122.0
LD,26,1010.0,2340.0
LD,27,692.0,1432.0
LD,28,600.0,1529.0
LD,29,613.0,890.0
LD,30,827.0,1014.0
MH,1,63569.0,0.0
MH,2,164398.0,0.0
MH,3,202536.0,0.0
MH,4,216572.0,170.0
MH,5,215443.0,45244.0
MH,6,160121.0,113244.0
MH,7,296899.0,100919.0
MH,8,681065.0,152199.0
MH,9,942257.0,177480.0
MH,10,1073250.0,128956.0
MH,11,2474201.0,74323.0
MH,12,2473839.0,160842.0
MH,13,1879952.0,335766.0
MH,14,1477045.0,613961.0
MH,15,1310209.0,752567.0
MH,16,991799.0,662868.0
MH,17,1077530.0,888011.0
MH,18,627715.0,181306.0
MH,19,1375447.0,133559.0
MH,20,1568454.0,250105.0
MH,21,1415689.0,401441.0
MH,22,1440773.0,309258.0
MH,23,2912137.0,503333.0
MH,24,2025706.0,870945.0
MH,25,1527907.0,887485.0
MH,26,1738839.0,1298785.0
